Nid,Max,Min,Profit
3579,,,
3166,99,50,25
3166,199,100,30
3166,399,200,35
3166,599,400,40
3166,999,600,45
3166,,1000,50
3162,9,1,25
3162,29,10,30
3162,49,30,35
3162,,50,40
3160,9,1,25
3160,29,10,30
3160,49,30,35
3160,,50,40
3154,9,1,25
3154,29,10,30
3154,49,30,35
3154,,50,40
3153,9,1,25
3153,29,10,30
3153,49,30,35
3153,,50,40
3149,9,1,25
3149,29,10,30
3149,49,30,35
3149,,50,40
3148,9,1,25
3148,29,10,30
3148,49,30,35
3148,,50,40
3147,9,1,25
3147,29,10,30
3147,49,30,35
3147,,50,40
3146,9,1,25
3146,29,10,30
3146,49,30,35
3146,,50,40
3145,,1,50
3145,,,
3145,,,
3145,,,
3143,,1,40
3143,,,
3134,,1,40
3113,,1,40
3111,,1,40
3055,,1,40
3039,,1,40
3035,,1,40
2985,,1,40
2983,,1,40
2966,,1,40
2945,,1,40
2935,,1,40
2914,,1,40
2913,,1,40
2902,,1,40
2893,,1,40
2891,,1,40
2887,,1,40
2883,,1,40
2881,,1,40
2877,,1,40
2875,,1,40
2780,,1,40
2779,,1,40
2770,,1,40
2759,,1,40
2746,,1,40
2726,,1,40
2693,,1,40
2691,,1,40
2507,,1,40
2431,,1,50
2401,,1,40
2328,,1,40
1796,,1,40
1686,,1,40
1475,,1,40
1465,,1,40
1208,,1,40
1188,,1,40
1011,,1,50
681,,1,40
677,,1,40
